mcc,country,cells,longitude,latitude,urls
242,Norway,180297,10.2770405248381,61.5389151987136,lacells-mcc_242.csv
422,Oman,31314,57.7697914636353,23.1037272623422,lacells-mcc_422.csv
410,Pakistan,146603,71.3160258258037,30.4411728829531,lacells-mcc_410.csv
552,Palau,50,134.480761122193,7.36303912490284,lacells-mcc_552.csv
714,Panama,127125,-80.3267059651124,8.90112260255272,lacells-mcc_714.csv
537,"Papua New Guinea",2408,145.818361997553,-6.58007295740068,lacells-mcc_537.csv
744,Paraguay,82965,-57.150231477863,-25.0388274972948,lacells-mcc_744.csv
716,Peru,259625,-76.8080320843325,-11.2952514283741,lacells-mcc_716.csv
515,Philippines,318837,123.574680459645,10.1736619164222,lacells-mcc_515.csv
260,Poland,1415840,18.9742150557696,51.4618363629818,lacells-mcc_260_a.csv lacells-mcc_260_b.csv
268,Portugal,176734,-9.05860963298596,39.0930028048472,lacells-mcc_268.csv
330,"Puerto Rico",23720,-66.0383955459762,18.3804686129376,lacells-mcc_330.csv
427,Qatar,49781,51.4914961392801,25.2228405343412,lacells-mcc_427.csv
647,Reunion,16850,48.3379340644323,-15.2057158802422,lacells-mcc_647.csv
226,Romania,259097,24.0664254905324,46.0501653051152,lacells-mcc_226.csv
250,Russia,2542436,46.8675754071111,55.2077969954399,lacells-mcc_250_a.csv lacells-mcc_250_b.csv lacells-mcc_250_c.csv lacells-mcc_250_d.csv
635,Rwanda,9906,29.9514927738423,-1.9476113867521,lacells-mcc_635.csv
356,"Saint Kitts and Nevis",340,-61.5585468910734,17.527557401215,lacells-mcc_356.csv
358,"Saint Lucia",453,-60.7360394663611,13.9752750746677,lacells-mcc_358.csv
308,"Saint Pierre and Miquelon",18,-54.6435349255507,46.8780858084802,lacells-mcc_308.csv
360,"Saint Vincent and the Grenadines",242,-57.4060370306097,13.9586605833181,lacells-mcc_360.csv
549,Samoa,5170,-171.878206828102,-13.8162063601907,lacells-mcc_549.csv
292,"San Marino",70,25.9733923338364,45.66429728081,lacells-mcc_292.csv
626,"Sao Tome and Principe",153,6.71012970028046,0.308322649631065,lacells-mcc_626.csv
420,"Saudi Arabia",395819,44.7300539938912,24.2899232445514,lacells-mcc_420.csv
608,Senegal,56863,-17.0535183614884,14.6720397682863,lacells-mcc_608.csv
220,Serbia,81090,20.4191269683167,44.6072303648462,lacells-mcc_220.csv
633,Seychelles,952,55.4730484305842,-4.67010897729122,lacells-mcc_633.csv
619,"Sierra Leone",1948,-12.4862049297445,8.09740103277465,lacells-mcc_619.csv
525,Singapore,131188,103.840151947638,1.34067107874461,lacells-mcc_525.csv
231,Slovakia,84975,18.4761255849193,48.5073125358681,lacells-mcc_231.csv
293,Slovenia,52677,14.5311503048915,46.1529203521316,lacells-mcc_293.csv
540,"Solomon Islands",112,159.835220514572,-9.26479954357848,lacells-mcc_540.csv
637,Somalia,6148,45.8975001275328,5.46303519577072,lacells-mcc_637.csv
655,"South Africa",614253,28.4189571205452,-27.9897442756468,lacells-mcc_655.csv
450,"South Korea",872882,127.542912728897,36.5562649423751,lacells-mcc_450_a.csv lacells-mcc_450_b.csv
659,"South Sudan",2522,31.2471998513944,5.19541196979905,lacells-mcc_659.csv
214,Spain,1047295,-2.9109150996688,38.840603169994,lacells-mcc_214_a.csv lacells-mcc_214_b.csv
413,"Sri Lanka",50921,80.0071784861691,6.99599560370325,lacells-mcc_413.csv
634,Sudan,15640,32.4862442823468,15.6705640017621,lacells-mcc_634.csv
746,Suriname,11545,-55.3374611397123,5.77161091300722,lacells-mcc_746.csv
653,Swaziland,2588,31.4383710518274,-26.7819416898479,lacells-mcc_653.csv
240,Sweden,493273,16.0080325896899,58.9266065373328,lacells-mcc_240.csv
228,Switzerland,293159,7.14347409431943,46.7280619119049,lacells-mcc_228.csv
417,Syria,15783,36.6620161554025,34.3804099414896,lacells-mcc_417.csv
466,Taiwan,479504,121.056820425478,24.3791016231614,lacells-mcc_466.csv
436,Tajikistan,13352,69.4135496486685,38.7787247864989,lacells-mcc_436.csv
640,Tanzania,155392,36.3469484271778,-5.74200911312144,lacells-mcc_640.csv
520,Thailand,1345065,100.814616176278,13.8107507188443,lacells-mcc_520_a.csv lacells-mcc_520_b.csv
615,Togo,10169,1.31754667942405,6.55586685588571,lacells-mcc_615.csv
539,Tonga,255,-175.049939265692,-21.1120136901648,lacells-mcc_539.csv
374,"Trinidad and Tobago",31707,-61.4222928392075,10.4523046528996,lacells-mcc_374.csv
605,Tunisia,72660,10.2504609739341,36.1614964808386,lacells-mcc_605.csv
286,Turkey,735944,32.177792700696,39.842848087661,lacells-mcc_286.csv
438,Turkmenistan,5959,58.4107512700386,38.4205307372318,lacells-mcc_438.csv
376,"Turks and Caicos Islands",245,-72.1881027877552,21.784338368861,lacells-mcc_376.csv
553,Tuvalu,1,179.194565,-8.524017,lacells-mcc_553.csv
641,Uganda,62996,31.937714982417,0.7808841102926,lacells-mcc_641.csv
255,Ukraine,354603,30.3776072357116,49.2505513039987,lacells-mcc_255.csv
424,"United Arab Emirates",209304,55.3376824936109,25.0035217777915,lacells-mcc_424.csv
430,"United Arab Emirates",30,97.463988064,52.08380873,lacells-mcc_430.csv
431,"United Arab Emirates",21,103.378530654545,55.1498852333333,lacells-mcc_431.csv
234,"United Kingdom",1800141,-1.4238220276713,52.4250213735823,lacells-mcc_234_a.csv lacells-mcc_234_b.csv lacells-mcc_234_c.csv
235,"United Kingdom",27,37.6341319412218,54.3485468482639,lacells-mcc_235.csv
310,"United States of America",5918089,-91.14779854748,34.7263988448637,lacells-mcc_310_a.csv lacells-mcc_310_b.csv lacells-mcc_310_c.csv lacells-mcc_310_d.csv lacells-mcc_310_e.csv lacells-mcc_310_f.csv lacells-mcc_310_g.csv lacells-mcc_310_h.csv
311,"United States of America",1604202,-90.6914303555556,39.1520923546243,lacells-mcc_311_a.csv lacells-mcc_311_b.csv
312,"United States of America",198500,-93.0098641095503,37.7077393286083,lacells-mcc_312.csv
316,"United States of America",457,-100.037979060735,39.0498313447556,lacells-mcc_316.csv
748,Uruguay,38635,-56.2344215369685,-34.2117322471281,lacells-mcc_748.csv
434,Uzbekistan,28062,68.8117041967097,41.1057788540068,lacells-mcc_434.csv
541,Vanuatu,559,168.258640100422,-17.6517514628931,lacells-mcc_541.csv
734,Venezuela,98770,-64.6608290999386,9.3962799430642,lacells-mcc_734.csv
452,Vietnam,296218,106.628273165688,13.0983914363908,lacells-mcc_452.csv
543,"Wallis and Futuna",2,102.9379858,56.44779,lacells-mcc_543.csv
421,Yemen,5275,40.8880935376205,15.4781253056376,lacells-mcc_421.csv
645,Zambia,41983,28.4513142559223,-14.6612358944607,lacells-mcc_645.csv
648,Zimbabwe,45856,30.717401469098,-18.4502474686999,lacells-mcc_648.csv
